カラーコード, 読み, 漢字, (空行はつくらないこと)
#165e83, あいいろ, 藍色
#555647, あいこびちゃ, 藍媚茶
#ebf6f7, あいじろ, 藍白
#474a4d, あいすみちゃ, 藍墨茶
#393f4c, あいてつ, 藍鉄
#6c848d, あいねず, 藍鼠
#56564b, あいみるちゃ, 藍海松茶
#0095d9, あお, 青
#393e4f, あおかち, 青褐
#ada250, あおくちば, 青朽葉
#9ba88d, あおしろつるばみ, 青白橡
#7ebeab, あおたけいろ, 青竹色
#99ab4e, あおに, 青丹
#6b7b6e, あおにび, 青鈍
#84a2d4, あおふじいろ, 青藤色
#00a497, あおみどり, 青緑
#674598, あおむらさき, 青紫
#FF0000, あか, 赤
#db8449, あかくちばいろ, 赤朽葉色
#f6b894, あかこう, 赤香
#8a3319, あかさびいろ, 赤錆色
#d7a98c, あかしろつるばみ, 赤白橡
#3f312b, あかすみ, 赤墨
#ea5506, あかだいだい, 赤橙
#bb5535, あかちゃ, 赤茶
#d3cfd9, あかつきねず, 暁鼠
#ce5242, あかに, 赤丹
#b7282e, あかねいろ, 茜色
#c53d43, あかべに, 赤紅
#eb6ea5, あかむらさき, 赤紫
#9e9478, あくいろ, 灰汁色
#ba2636, あけ, 朱/緋
#f19072, あけぼのいろ, 曙色
#00a3af, あさぎいろ, 浅葱色
#a25768, あさすおう, 浅蘇芳
#84b9cb, あさはなだ, 浅縹
#88cb7f, あさみどり, 浅緑
#c4a3bf, あさむらさき, 浅紫
#96514d, あずきいろ, 小豆色
#a19361, あぶらいろ, 油色
#d6c6af, あまいろ, 亜麻色
#2ca9e1, あまいろ, 天色
#deb068, あめいろ, 飴色
#cc7eb1, あやめいろ, 菖蒲色
#f2c9ac, あらいがき, 洗柿
#d0826c, あらいしゅ, 洗朱
#d69090, あらぞめ, 退紅
#bbc8e6, あわふじいろ, 淡藤色
#e6cde3, あわべにふじ, 淡紅藤
#74325c, あんこうしょく, 暗紅色
#16160e, あんこくしょく, 暗黒色
#f7b977, あんずいろ, 杏色
#f5b199, いっこんぞめ, 一斤染
#d0576b, いまよういろ, 今様色
#6b6f59, いわいちゃ, 岩井茶
#928c36, うぐいすいろ, 鶯色
#715c1f, うぐいすちゃ, 鶯茶
#fabf14, うこんいろ, 鬱金色
#0094c8, うすあい, 薄藍
#93b69c, うすあお, 薄青
#a89dac, うすいろ, 薄色
#dcd6d9, うすうめねず, 薄梅鼠
#d4acad, うすがき, 薄柿
#edd3a1, うすき, 浅黄
#df7163, うすきひ, 浅緋
#d4dcda, うすくもねず, 薄雲鼠
#5383c3, うすぐんじょう, 薄群青
#f0cfa0, うすこう, 薄香
#f3bf88, うすこう, 淡香
#e597b2, うすこうばい, 薄紅梅
#fdeff2, うすざくら, 薄桜
#a3a3a2, うすずみいろ, 薄墨色
#fde8d0, うすたまごいろ, 薄卵色
#adadad, うすにび, 薄鈍
#9790a4, うすねず, 薄鼠
#698aab, うすはないろ, 薄花色
#5a79ba, うすはなざくら, 薄花桜
#507ea4, うすはなだ, 薄縹
#c0a2c7, うすぶどう, 薄葡萄
#f0908d, うすべに, 薄紅
#69b076, うすみどり, 薄緑
#93ca76, うすもえぎ, 淡萌黄
#badcad, うすもえぎ, 薄萌葱
#9d896c, うつぶしいろ, 空五倍子色
#f7fcfe, うのはないろ, 卯の花色
#b48a76, うめぞめ, 梅染
#c099a0, うめねず, 梅鼠
#aa4c8f, うめむらさき, 梅紫
#c1d8ac, うらはやなぎ, 裏葉柳
#c8c2be, うるみいろ, 潤色
#cd8c5c, えどちゃ, 江戸茶
#928178, えどねず, 江戸鼠
#745399, えどむらさき, 江戸紫
#640125, えびいろ, 葡萄色
#7a4171, えびぞめ, 蒲葡
#773c30, えびちゃ, 海老茶
#6c2c2f, えびちゃ, 葡萄茶
#b94047, えんじ, 臙脂
#ca8269, えんしゅうちゃ, 遠州茶
#ec6d51, えんたんいろ, 鉛丹色
#769164, おいたけいろ, 老竹色
#c39143, おうどいろ, 黄土色
#ee7948, おうに, 黄丹
#f2f2b0, おみなえし, 女郎花
#4c6473, おめしおなんど, 御召御納戸
#43676b, おめしちゃ, 御召茶
#e9e4d4, かいはくしょく, 灰白色
#ed6d3d, かきいろ, 柿色
#9f563a, かきしぶいろ, 柿渋色
#954e2a, かきちゃ, 柿茶
#3e62ad, かきつばたいろ, 杜若色
#c8c2c6, かすみいろ, 霞色
#4d4c61, かちいろ, 褐色
#203744, かちかえし, 褐返
#8a3b00, かっしょく, 褐色
#ebd842, かなりあいろ, 金糸雀色
#cd5e3c, かばいろ, 樺色
#726250, かばちゃいろ, 樺茶色
#a2d7dd, かめのぞき, 瓶覗
#e95464, からくれない, 韓紅
#d0af4c, からしいろ, 芥子色
#180614, からすばいろ, 烏羽色
#8d6449, からちゃ, 枯茶
#783c1d, からちゃ, 唐茶
#f5e56b, かりやすいろ, 刈安色
#e0c38c, かれいろ, 枯色
#e4dc8a, かれくさいろ, 枯草色
#d3cbc6, かれのいろ, 枯野色
#475950, かわいろ, 革色
#c37854, かわらけいろ, 土器色
#f8b862, かんぞういろ, 萱草色
#ec6800, きあか, 黄赤
#ffd900, きいろ, 黄色
#b98c46, きがらちゃ, 黄唐茶
#765c47, きがらちゃ, 黄枯茶
#5654a2, ききょういろ, 桔梗色
#95949a, ききょうねず, 桔梗鼠
#6e7955, きくじん, 麹塵
#ffdb4f, きくちなしいろ, 黄支子色
#d3a243, きくちばいろ, 黄朽葉色
#e17b34, きちゃ, 黄茶
#c38743, きつねいろ, 狐色
#b68d4c, きつるばみ, 黄橡
#fbfaf5, きなりいろ, 生成り色
#dddcd6, きぬねず, 絹鼠
#fef263, きはだいろ, 黄檗色
#b8d200, きみどり, 黄緑
#918754, きみるちゃ, 黄海松茶
#d8a373, きゃらいろ, 伽羅色
#9d5b8b, きょうむらさき, 京紫
#ea5506, きんあか, 金赤
#c85554, ぎんしゅ, 銀朱
#856859, ぎんすすだけ, 銀煤竹
#f39800, きんちゃ, 金茶
#afafb0, ぎんねず, 銀鼠
#7b8d42, くさいろ, 草色
#fbca4d, くちなしいろ, 支子色
#917347, くちばいろ, 朽葉色
#762f07, くりいろ, 栗色
#554738, くりいろ, 涅色
#852e19, くりうめ, 栗梅
